FiscalYearEnd,TotalAssets,Cash,TotalEquity
1992-12-31,17131.998,1127.996,9025.854
1993-12-31,19520.469,1817.558,10610.653
1994-12-31,21338.2,273.9,12074.3
1995-12-31,28711.4,2703.8,17003.2
1996-12-31,43409.4,1339.8,23761.4
1997-12-31,56111,1002,31912
1998-12-31,122237,13582,59047
1999-12-31,131416,3835,59184
2000-12-31,135792,5263,62993
2001-12-31,162752,5313,59299
2002-12-31,169544,10283,65428
2003-12-31,180559,31262,78341
2004-12-31,188874,40020,86658
2005-12-31,198325,40471,92300
2006-12-31,248437,38320,110681
2007-12-31,273160,38881,123401
2008-12-31,267399,24582,113707
2009-12-31,297119,28652,135785
2010-12-31,372229,37324,162934
2011-12-31,392647,35759,168961
2012-12-31,427452,44928,191588
2013-12-31,484931,45833,224485
2014-12-31,525867,60975,243027
2015-12-31,552257,60049,258627
2016-12-31,620854,27520,285428
2017-12-31,702095,31583,351954
2018-12-31,707794,30361,352500
2019-12-31,817729,64175,428563
2020-12-31,873729,47990,451336
2021-12-31,958784,88184,514930
2022-12-31,948465,35811,481681
2023-12-31,1069978,38022,570770
2024-12-31,1153881,47729,651655
2025-12-31,1222176,51877,719703
