Date,BRK
1985-05-31,0.00540541
1985-06-28,0.15591398
1985-07-31,-0.01860465
1985-08-30,-0.03317536
1985-09-30,0.03921569
1985-10-31,0.23584906
1985-11-29,0.0019084
1985-12-31,-0.05904762
1986-01-31,-0.08704453
1986-02-28,0.22394678
1986-03-31,0.13043478
1986-04-30,-0.06730769
1986-05-30,-0.01718213
1986-06-30,0.04020979
1986-07-31,-0.05042017
1986-08-29,0.02654867
1986-09-30,-0.09482759
1986-10-31,0.0952381
1986-11-28,-0.04695652
1986-12-31,0.02919708
1987-01-30,0.09929078
1987-02-27,0.08387097
1987-03-31,0.04761905
1987-04-30,-0.03977273
1987-05-29,0.00887574
1987-06-30,0.02639296
1987-07-31,0.13142857
1987-08-31,0.00757576
1987-09-30,0.05764411
1987-10-30,-0.21208531
1987-11-30,-0.12781955
1987-12-31,0.01724138
1988-01-29,0.02711864
1988-02-29,0.03960396
1988-03-31,0.08730159
1988-04-29,0.10218978
1988-05-31,0.0397351
1988-06-30,0.05732484
1988-07-29,0.04819277
1988-08-31,-0.00574713
1988-09-30,0.10982659
1988-10-31,-0.015625
1988-11-30,-0.00529101
1988-12-30,0.0
1989-01-31,0.04787234
1989-02-28,-0.04060914
1989-03-31,0.04761905
1989-04-28,0.26767677
1989-05-31,0.02390438
1989-06-30,0.0233463
1989-07-31,0.14068441
1989-08-31,0.06333333
1989-09-29,0.0815047
1989-10-31,-0.01333333
1989-11-30,-0.03055229
1989-12-29,0.05151515
1990-01-31,-0.14063401
1990-02-28,-0.03085178
1990-03-30,-0.06920415
1990-04-30,-0.00371747
1990-05-31,0.06716418
1990-06-29,0.00699301
1990-07-31,-0.02777778
1990-08-31,-0.08571429
1990-09-28,-0.08203125
1990-10-31,0.01276596
1990-11-30,0.06638655
1990-12-31,0.05200946
1991-01-31,0.10861423
1991-02-28,0.09121622
1991-03-28,-0.00619195
1991-04-30,0.01246106
1991-05-31,0.07692308
1991-06-28,-0.04
1991-07-31,0.01488095
